fen,move,score
3r1r1k/2p1q1p1/p2p4/4pB2/1P6/P1P1PNP1/1BQP1P1P/R3K2R b KQ - 0 20,d8d7,-1
5r1k/2pBq1p1/p2p4/4p3/1P6/P1P1PNP1/1BQP1P1P/R3K2R b KQ - 0 21,e7f6,-1
5r1k/2pB2p1/p2p1q2/4p3/1P2Q3/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 2 22,f6f5,1
5r1k/2pB2p1/p2p4/4pq2/1P5Q/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 4 23,f5h5,-1
5r1k/2pB2p1/p2p4/4p2Q/1P6/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 0 24,h8g8,1
5rk1/2p3p1/p2pB3/4p2Q/1P6/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 2 25,f8f7,1
6k1/2p2Qp1/p2pB3/4p3/1P6/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 0 26,g8h8,1
5Q1k/2p3p1/p2pB3/4p3/1P6/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 2 27,h8h7,1
5Q2/2p3pk/p2p4/4pB2/1P6/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 4 28,g7g6,1
8/2p2Q1k/p2p2p1/4pB2/1P6/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 1 29,h7h8,1
7k/2p5/p2p1Qp1/4pB2/1P6/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 3 30,h8g8,1
6k1/2p5/p2p1QB1/4p3/1P6/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 0 31,e5e4,1
6k1/2p2Q2/p2p2B1/8/1P2p3/P1P1PNP1/1B1P1P1P/R3K2R b KQ - 1 32,g8h8,1
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,d7d5,1
rnbqkbnr/ppp1pppp/8/3p4/8/1P2P3/P1PP1PPP/RNBQKBNR b KQkq - 0 2,g8f6,1
rnbqkb1r/ppp1pppp/5n2/3p4/8/1P2PQ2/P1PP1PPP/RNB1KBNR b KQkq - 2 3,e7e6,1
rnbqkb1r/ppp2ppp/4pn2/3p4/8/1P2PQ2/PBPP1PPP/RN2KBNR b KQkq - 1 4,f8e7,1
rnbqk2r/ppp1bppp/4pn2/3p4/8/1P1BPQ2/PBPP1PPP/RN2K1NR b KQkq - 3 5,e8g8,1
rnbq1rk1/ppp1bppp/4pn2/3p4/8/1P1BP2Q/PBPP1PPP/RN2K1NR b KQ - 5 6,b8c6,-1
r1bq1rk1/ppp1bppp/2n1pB2/3p4/8/1P1BP2Q/P1PP1PPP/RN2K1NR b KQ - 0 7,e7f6,-1
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4p3/Q1P5/8/PP1PPPPP/RNB1KBNR b KQkq - 1 2,g8f6,1
rnbqkb1r/pppp1ppp/5n2/4p3/Q1P5/1P6/P2PPPPP/RNB1KBNR b KQkq - 0 3,b8c6,1
r1bqkb1r/pppp1ppp/2n2n2/4p3/Q1P5/BP6/P2PPPPP/RN2KBNR b KQkq - 2 4,d7d5,1
r1bqkB1r/ppp2ppp/2n2n2/3pp3/Q1P5/1P6/P2PPPPP/RN2KBNR b KQkq - 0 5,d5c4,-1
r1bqk2r/ppp2pBp/2n2n2/4p3/Q1p5/1P6/P2PPPPP/RN2KBNR b KQkq - 0 6,f6d5,-1
r1bqk2B/ppp2p1p/2n5/3np3/Q1p5/1P6/P2PPPPP/RN2KBNR b KQq - 0 7,c4b3,-1
r1bqk2B/ppp2p1p/2n5/3np3/8/1Q6/P2PPPPP/RN2KBNR b KQq - 0 8,c8g4,-1
r2qk2B/ppp2p1p/2n5/3np3/6b1/6Q1/P2PPPPP/RN2KBNR b KQq - 2 9,d8d7,1
