fens,moves,score
2r1r1k1/2p2pp1/1p3q1p/4bP2/P7/1B5P/1PP3P1/4R1K1 b - - 3 30,e5d4,1
2r1r1k1/2p2pp1/1p3q1p/5P2/P2b4/1B5P/1PP3P1/4R1K1 w - - 4 31,e1e3,-1
2r1r1k1/2p2pp1/1p3q1p/5P2/P2b4/1B2R2P/1PP3P1/6K1 b - - 5 31,d4e3,1
2r1r1k1/2p2pp1/1p3q1p/5P2/P7/1B2b2P/1PP3P1/6K1 w - - 0 32,g1h2,-1
2r1r1k1/2p2pp1/1p3q1p/5P2/P7/1B2b2P/1PP3PK/8 b - - 1 32,e3d4,1
2r1r1k1/2p2pp1/1p3q1p/5P2/P2b4/1B5P/1PP3PK/8 w - - 2 33,a4a5,-1
2r1r1k1/2p2pp1/1p3q1p/P4P2/3b4/1B5P/1PP3PK/8 b - - 0 33,b6a5,1
2r1r1k1/2p2pp1/5q1p/p4P2/3b4/1B5P/1PP3PK/8 w - - 0 34,h3h4,-1
2r1r1k1/2p2pp1/5q1p/p4P2/3b3P/1B6/1PP3PK/8 b - - 0 34,d4e3,1
2r1r1k1/2p2pp1/5q1p/p4P2/7P/1B2b3/1PP3PK/8 w - - 1 35,b3d5,-1
2r1r1k1/2p2pp1/5q1p/p2B1P2/7P/4b3/1PP3PK/8 b - - 2 35,e3f2,1
2r1r1k1/2p2pp1/5q1p/p2B1P2/7P/8/1PP2bPK/8 w - - 3 36,d5c4,-1
2r1r1k1/2p2pp1/5q1p/p4P2/2B4P/8/1PP2bPK/8 b - - 4 36,e8e7,1
2r3k1/2p1rpp1/5q1p/p4P2/2B4P/8/1PP2bPK/8 w - - 5 37,c4d5,-1
2r3k1/2p1rpp1/5q1p/p2B1P2/7P/8/1PP2bPK/8 b - - 6 37,f6f5,1
2r3k1/2p1rpp1/7p/p2B1q2/7P/8/1PP2bPK/8 w - - 0 38,d5a8,-1
B1r3k1/2p1rpp1/7p/p4q2/7P/8/1PP2bPK/8 b - - 1 38,f5e4,1
B1r3k1/2p1rpp1/7p/p7/4q2P/8/1PP2bPK/8 w - - 2 39,a8c6,-1
2r3k1/2p1rpp1/2B4p/p7/4q2P/8/1PP2bPK/8 b - - 3 39,e4e3,1
2r3k1/2p1rpp1/2B4p/p7/7P/4q3/1PP2bPK/8 w - - 4 40,b2b3,-1
2r3k1/2p1rpp1/2B4p/p7/7P/1P2q3/2P2bPK/8 b - - 0 40,e3e2,1
2r3k1/2p1rpp1/2B4p/p7/7P/1P6/2P1qbPK/8 w - - 1 41,c6d5,-1
2r3k1/2p1rpp1/7p/p2B4/7P/1P6/2P1qbPK/8 b - - 2 41,c7c5,1
2r3k1/4rpp1/7p/p1pB4/7P/1P6/2P1qbPK/8 w - - 0 42,d5b7,-1
2r3k1/1B2rpp1/7p/p1p5/7P/1P6/2P1qbPK/8 b - - 1 42,c8d8,1
3r2k1/1B2rpp1/7p/p1p5/7P/1P6/2P1qbPK/8 w - - 2 43,b7c6,-1
3r2k1/4rpp1/2B4p/p1p5/7P/1P6/2P1qbPK/8 b - - 3 43,d8f8,1
5rk1/4rpp1/2B4p/p1p5/7P/1P6/2P1qbPK/8 w - - 4 44,c6b7,-1
5rk1/1B2rpp1/7p/p1p5/7P/1P6/2P1qbPK/8 b - - 5 44,f2g3,1
5rk1/1B2rpp1/7p/p1p5/7P/1P4b1/2P1q1PK/8 w - - 6 45,h2g1,-1
5rk1/1B2rpp1/7p/p1p5/7P/1P4b1/2P1q1P1/6K1 b - - 7 45,g3f4,1
5rk1/1B2rpp1/7p/p1p5/5b1P/1P6/2P1q1P1/6K1 w - - 8 46,b7c6,-1
5rk1/4rpp1/2B4p/p1p5/5b1P/1P6/2P1q1P1/6K1 b - - 9 46,f8e8,1
4r1k1/4rpp1/2B4p/p1p5/5b1P/1P6/2P1q1P1/6K1 w - - 10 47,c6b7,-1
4r1k1/1B2rpp1/7p/p1p5/5b1P/1P6/2P1q1P1/6K1 b - - 11 47,e8c8,1
2r3k1/1B2rpp1/7p/p1p5/5b1P/1P6/2P1q1P1/6K1 w - - 12 48,b7c8,-1
2B3k1/4rpp1/7p/p1p5/5b1P/1P6/2P1q1P1/6K1 b - - 0 48,g8h8,1
2B4k/4rpp1/7p/p1p5/5b1P/1P6/2P1q1P1/6K1 w - - 1 49,c8e6,-1
7k/4rpp1/4B2p/p1p5/5b1P/1P6/2P1q1P1/6K1 b - - 2 49,f7e6,1
7k/4r1p1/4p2p/p1p5/5b1P/1P6/2P1q1P1/6K1 w - - 0 50,b3b4,-1
7k/4r1p1/4p2p/p1p5/1P3b1P/8/2P1q1P1/6K1 b - - 0 50,a5b4,1
7k/4r1p1/4p2p/2p5/1p3b1P/8/2P1q1P1/6K1 w - - 0 51,h4h5,-1
7k/4r1p1/4p2p/2p4P/1p3b2/8/2P1q1P1/6K1 b - - 0 51,e2e1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,-1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e1e2,-1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPKPPP/RNBQ1BNR b kq - 1 2,b8c6,1
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/8/PPPPKPPP/RNBQ1BNR w kq - 2 3,g1h3,-1
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/7N/PPPPKPPP/RNBQ1B1R b kq - 3 3,g8f6,1
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/7N/PPPPKPPP/RNBQ1B1R w kq - 4 4,a2a3,-1
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/P6N/1PPPKPPP/RNBQ1B1R b kq - 0 4,f8c5,1
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/P6N/1PPPKPPP/RNBQ1B1R w kq - 1 5,d2d4,-1
r1bqk2r/pppp1ppp/2n2n2/2b1p3/3PP3/P6N/1PP1KPPP/RNBQ1B1R b kq - 0 5,e5d4,1
r1bqk2r/pppp1ppp/2n2n2/2b5/3pP3/P6N/1PP1KPPP/RNBQ1B1R w kq - 0 6,e2d3,-1
r1bqk2r/pppp1ppp/2n2n2/2b5/3pP3/P2K3N/1PP2PPP/RNBQ1B1R b kq - 1 6,e8g8,1
r1bq1rk1/pppp1ppp/2n2n2/2b5/3pP3/P2K3N/1PP2PPP/RNBQ1B1R w - - 2 7,f1e2,-1
r1bq1rk1/pppp1ppp/2n2n2/2b5/3pP3/P2K3N/1PP1BPPP/RNBQ3R b - - 3 7,d7d6,1
r1bq1rk1/ppp2ppp/2np1n2/2b5/3pP3/P2K3N/1PP1BPPP/RNBQ3R w - - 0 8,h3g5,-1
r1bq1rk1/ppp2ppp/2np1n2/2b3N1/3pP3/P2K4/1PP1BPPP/RNBQ3R b - - 1 8,h7h6,1
r1bq1rk1/ppp2pp1/2np1n1p/2b3N1/3pP3/P2K4/1PP1BPPP/RNBQ3R w - - 0 9,g5f3,-1
r1bq1rk1/ppp2pp1/2np1n1p/2b5/3pP3/P2K1N2/1PP1BPPP/RNBQ3R b - - 1 9,c8g4,1
r2q1rk1/ppp2pp1/2np1n1p/2b5/3pP1b1/P2K1N2/1PP1BPPP/RNBQ3R w - - 2 10,c1g5,-1
r2q1rk1/ppp2pp1/2np1n1p/2b3B1/3pP1b1/P2K1N2/1PP1BPPP/RN1Q3R b - - 3 10,h6g5,1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/3pP1b1/P2K1N2/1PP1BPPP/RN1Q3R w - - 0 11,g2g3,-1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/3pP1b1/P2K1NP1/1PP1BP1P/RN1Q3R b - - 0 11,g4f3,1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/3pP3/P2K1bP1/1PP1BP1P/RN1Q3R w - - 0 12,b1c3,-1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/3pP3/P1NK1bP1/1PP1BP1P/R2Q3R b - - 1 12,f3g2,1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/3pP3/P1NK2P1/1PP1BPbP/R2Q3R w - - 2 13,h1g1,-1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/3pP3/P1NK2P1/1PP1BPbP/R2Q2R1 b - - 3 13,d4c3,1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/4P3/P1pK2P1/1PP1BPbP/R2Q2R1 w - - 0 14,g1f1,-1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/4P3/P1pK2P1/1PP1BPbP/R2Q1R2 b - - 1 14,g2f3,1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/4P3/P1pK1bP1/1PP1BP1P/R2Q1R2 w - - 2 15,a1b1,-1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/4P3/P1pK1bP1/1PP1BP1P/1R1Q1R2 b - - 3 15,f3g2,1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/4P3/P1pK2P1/1PP1BPbP/1R1Q1R2 w - - 4 16,b2c3,-1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/4P3/P1PK2P1/2P1BPbP/1R1Q1R2 b - - 0 16,g2h3,1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/4P3/P1PK2Pb/2P1BP1P/1R1Q1R2 w - - 1 17,b1b4,-1
r2q1rk1/ppp2pp1/2np1n2/2b3p1/1R2P3/P1PK2Pb/2P1BP1P/3Q1R2 b - - 2 17,c5b4,1
r2q1rk1/ppp2pp1/2np1n2/6p1/1b2P3/P1PK2Pb/2P1BP1P/3Q1R2 w - - 0 18,a3b4,-1
r2q1rk1/ppp2pp1/2np1n2/6p1/1P2P3/2PK2Pb/2P1BP1P/3Q1R2 b - - 0 18,d8d7,1
r4rk1/pppq1pp1/2np1n2/6p1/1P2P3/2PK2Pb/2P1BP1P/3Q1R2 w - - 1 19,e2h5,-1
r4rk1/pppq1pp1/2np1n2/6pB/1P2P3/2PK2Pb/2P2P1P/3Q1R2 b - - 2 19,d6d5,1
r4rk1/pppq1pp1/2n2n2/3p2pB/1P2P3/2PK2Pb/2P2P1P/3Q1R2 w - - 0 20,e4d5,-1
r4rk1/pppq1pp1/2n2n2/3P2pB/1P6/2PK2Pb/2P2P1P/3Q1R2 b - - 0 20,c6e5,1
r4rk1/pppq1pp1/5n2/3Pn1pB/1P6/2PK2Pb/2P2P1P/3Q1R2 w - - 1 21,d3e2,-1
r4rk1/pppq1pp1/5n2/3Pn1pB/1P6/2P3Pb/2P1KP1P/3Q1R2 b - - 2 21,f6e4,1
r4rk1/pppq1pp1/8/3Pn1pB/1P2n3/2P3Pb/2P1KP1P/3Q1R2 w - - 3 22,d1d4,-1
r4rk1/pppq1pp1/8/3Pn1pB/1P1Qn3/2P3Pb/2P1KP1P/5R2 b - - 4 22,f7f5,1
r4rk1/pppq2p1/8/3PnppB/1P1Qn3/2P3Pb/2P1KP1P/5R2 w - - 0 23,f1h1,-1
r4rk1/pppq2p1/8/3PnppB/1P1Qn3/2P3Pb/2P1KP1P/7R b - - 1 23,c7c6,1
r4rk1/pp1q2p1/2p5/3PnppB/1P1Qn3/2P3Pb/2P1KP1P/7R w - - 0 24,f2f4,-1
r4rk1/pp1q2p1/2p5/3PnppB/1P1QnP2/2P3Pb/2P1K2P/7R b - - 0 24,e5g4,1
r4rk1/pp1q2p1/2p5/3P1ppB/1P1QnPn1/2P3Pb/2P1K2P/7R w - - 1 25,e2f3,-1
r4rk1/pp1q2p1/2p5/3P1ppB/1P1QnPn1/2P2KPb/2P4P/7R b - - 2 25,d7e7,1
r4rk1/pp2q1p1/2p5/3P1ppB/1P1QnPn1/2P2KPb/2P4P/7R w - - 3 26,d5c6,-1
r4rk1/pp2q1p1/2P5/5ppB/1P1QnPn1/2P2KPb/2P4P/7R b - - 0 26,a8d8,1
3r1rk1/pp2q1p1/2P5/5ppB/1P1QnPn1/2P2KPb/2P4P/7R w - - 1 27,c6b7,-1
3r1rk1/pP2q1p1/8/5ppB/1P1QnPn1/2P2KPb/2P4P/7R b - - 0 27,d8d7,1
5rk1/pP1rq1p1/8/5ppB/1P1QnPn1/2P2KPb/2P4P/7R w - - 1 28,h5g4,-1
5rk1/pP1rq1p1/8/5pp1/1P1QnPB1/2P2KPb/2P4P/7R b - - 0 28,f5g4,1
5rk1/pP1rq1p1/8/6p1/1P1QnPp1/2P2KPb/2P4P/7R w - - 0 29,f3e2,-1
5rk1/pP1rq1p1/8/6p1/1P1QnPp1/2P3Pb/2P1K2P/7R b - - 1 29,g5f4,1
5rk1/pP1rq1p1/8/8/1P1Qnpp1/2P3Pb/2P1K2P/7R w - - 0 30,g3f4,-1
5rk1/pP1rq1p1/8/8/1P1QnPp1/2P4b/2P1K2P/7R b - - 0 30,e4f6,1
5rk1/pP1rq1p1/5n2/8/1P1Q1Pp1/2P4b/2P1K2P/7R w - - 1 31,d4e5,-1
5rk1/pP1rq1p1/5n2/4Q3/1P3Pp1/2P4b/2P1K2P/7R b - - 2 31,e7d8,1
3q1rk1/pP1r2p1/5n2/4Q3/1P3Pp1/2P4b/2P1K2P/7R w - - 3 32,h1d1,-1
3q1rk1/pP1r2p1/5n2/4Q3/1P3Pp1/2P4b/2P1K2P/3R4 b - - 4 32,d8e7,1
5rk1/pP1rq1p1/5n2/4Q3/1P3Pp1/2P4b/2P1K2P/3R4 w - - 5 33,d1h1,-1
5rk1/pP1rq1p1/5n2/4Q3/1P3Pp1/2P4b/2P1K2P/7R b - - 6 33,e7d8,1
3q1rk1/pP1r2p1/5n2/4Q3/1P3Pp1/2P4b/2P1K2P/7R w - - 7 34,h1a1,-1
3q1rk1/pP1r2p1/5n2/4Q3/1P3Pp1/2P4b/2P1K2P/R7 b - - 8 34,d8e7,1
5rk1/pP1rq1p1/5n2/4Q3/1P3Pp1/2P4b/2P1K2P/R7 w - - 9 35,e5e6,-1
5rk1/pP1rq1p1/4Qn2/8/1P3Pp1/2P4b/2P1K2P/R7 b - - 10 35,e7f7,1
5rk1/pP1r1qp1/4Qn2/8/1P3Pp1/2P4b/2P1K2P/R7 w - - 11 36,e6d7,-1
5rk1/pP1Q1qp1/5n2/8/1P3Pp1/2P4b/2P1K2P/R7 b - - 0 36,f7g6,1
5rk1/pP1Q2p1/5nq1/8/1P3Pp1/2P4b/2P1K2P/R7 w - - 1 37,a1d1,-1
5rk1/pP1Q2p1/5nq1/8/1P3Pp1/2P4b/2P1K2P/3R4 b - - 2 37,f8e8,1
4r1k1/pP1Q2p1/5nq1/8/1P3Pp1/2P4b/2P1K2P/3R4 w - - 3 38,d7e6,-1
4r1k1/pP4p1/4Qnq1/8/1P3Pp1/2P4b/2P1K2P/3R4 b - - 4 38,g8h8,1
4r2k/pP4p1/4Qnq1/8/1P3Pp1/2P4b/2P1K2P/3R4 w - - 5 39,e6e7,-1
4r2k/pP2Q1p1/5nq1/8/1P3Pp1/2P4b/2P1K2P/3R4 b - - 6 39,e8e7,1
7k/pP2r1p1/5nq1/8/1P3Pp1/2P4b/2P1K2P/3R4 w - - 0 40,e2d2,-1
7k/pP2r1p1/5nq1/8/1P3Pp1/2P4b/2PK3P/3R4 b - - 1 40,e7e6,1
7k/pP4p1/4rnq1/8/1P3Pp1/2P4b/2PK3P/3R4 w - - 2 41,d1a1,-1
7k/pP4p1/4rnq1/8/1P3Pp1/2P4b/2PK3P/R7 b - - 3 41,g4g3,1
7k/pP4p1/4rnq1/8/1P3P2/2P3pb/2PK3P/R7 w - - 0 42,h2g3,-1
7k/pP4p1/4rnq1/8/1P3P2/2P3Pb/2PK4/R7 b - - 0 42,h3g4,1
7k/pP4p1/4rnq1/8/1P3Pb1/2P3P1/2PK4/R7 w - - 1 43,a1f1,-1
7k/pP4p1/4rnq1/8/1P3Pb1/2P3P1/2PK4/5R2 b - - 2 43,g4h3,1
7k/pP4p1/4rnq1/8/1P3P2/2P3Pb/2PK4/5R2 w - - 3 44,f1f2,-1
7k/pP4p1/4rnq1/8/1P3P2/2P3Pb/2PK1R2/8 b - - 4 44,h3g4,1
7k/pP4p1/4rnq1/8/1P3Pb1/2P3P1/2PK1R2/8 w - - 5 45,f2f3,-1
7k/pP4p1/4rnq1/8/1P3Pb1/2P2RP1/2PK4/8 b - - 6 45,g4h5,1
7k/pP4p1/4rnq1/7b/1P3P2/2P2RP1/2PK4/8 w - - 7 46,b7b8n,-1
1N5k/p5p1/4rnq1/7b/1P3P2/2P2RP1/2PK4/8 b - - 0 46,h5g4,1
1N5k/p5p1/4rnq1/8/1P3Pb1/2P2RP1/2PK4/8 w - - 1 47,f3f2,-1
1N5k/p5p1/4rnq1/8/1P3Pb1/2P3P1/2PK1R2/8 b - - 2 47,g4h3,1
1N5k/p5p1/4rnq1/8/1P3P2/2P3Pb/2PK1R2/8 w - - 3 48,f2f1,-1
1N5k/p5p1/4rnq1/8/1P3P2/2P3Pb/2PK4/5R2 b - - 4 48,h3g4,1
1N5k/p5p1/4rnq1/8/1P3Pb1/2P3P1/2PK4/5R2 w - - 5 49,b8a6,-1
7k/p5p1/N3rnq1/8/1P3Pb1/2P3P1/2PK4/5R2 b - - 6 49,g4h3,1
7k/p5p1/N3rnq1/8/1P3P2/2P3Pb/2PK4/5R2 w - - 7 50,a6c7,-1
7k/p1N3p1/4rnq1/8/1P3P2/2P3Pb/2PK4/5R2 b - - 8 50,h3g4,1
7k/p1N3p1/4rnq1/8/1P3Pb1/2P3P1/2PK4/5R2 w - - 9 51,c3c4,-1
7k/p1N3p1/4rnq1/8/1PP2Pb1/6P1/2PK4/5R2 b - - 0 51,g4h3,1
7k/p1N3p1/4rnq1/8/1PP2P2/6Pb/2PK4/5R2 w - - 1 52,c7a8,-1
N6k/p5p1/4rnq1/8/1PP2P2/6Pb/2PK4/5R2 b - - 2 52,h3g4,1
N6k/p5p1/4rnq1/8/1PP2Pb1/6P1/2PK4/5R2 w - - 3 53,f1e1,-1
N6k/p5p1/4rnq1/8/1PP2Pb1/6P1/2PK4/4R3 b - - 4 53,g4h3,1
N6k/p5p1/4rnq1/8/1PP2P2/6Pb/2PK4/4R3 w - - 5 54,e1f1,-1
N6k/p5p1/4rnq1/8/1PP2P2/6Pb/2PK4/5R2 b - - 6 54,h3g4,1
N6k/p5p1/4rnq1/8/1PP2Pb1/6P1/2PK4/5R2 w - - 7 55,f1d1,-1
N6k/p5p1/4rnq1/8/1PP2Pb1/6P1/2PK4/3R4 b - - 8 55,g4h3,1
N6k/p5p1/4rnq1/8/1PP2P2/6Pb/2PK4/3R4 w - - 9 56,a8b6,-1
7k/p5p1/1N2rnq1/8/1PP2P2/6Pb/2PK4/3R4 b - - 10 56,a7a6,1
7k/6p1/pN2rnq1/8/1PP2P2/6Pb/2PK4/3R4 w - - 0 57,g3g4,-1
7k/6p1/pN2rnq1/8/1PP2PP1/7b/2PK4/3R4 b - - 0 57,h3g4,1
7k/6p1/pN2rnq1/8/1PP2Pb1/8/2PK4/3R4 w - - 0 58,b6d5,-1
7k/6p1/p3rnq1/3N4/1PP2Pb1/8/2PK4/3R4 b - - 1 58,g4h3,1
7k/6p1/p3rnq1/3N4/1PP2P2/7b/2PK4/3R4 w - - 2 59,d1g1,-1
7k/6p1/p3rnq1/3N4/1PP2P2/7b/2PK4/6R1 b - - 3 59,h3g4,1
7k/6p1/p3rnq1/3N4/1PP2Pb1/8/2PK4/6R1 w - - 4 60,g1g4,-1
7k/6p1/p3rnq1/3N4/1PP2PR1/8/2PK4/8 b - - 0 60,g6g5,1
7k/6p1/p3rn2/3N2q1/1PP2PR1/8/2PK4/8 w - - 1 61,d2c1,-1
7k/6p1/p3rn2/3N2q1/1PP2PR1/8/2P5/2K5 b - - 2 61,g5h4,1
7k/6p1/p3rn2/3N4/1PP2PRq/8/2P5/2K5 w - - 3 62,g4g3,-1
7k/6p1/p3rn2/3N4/1PP2P1q/6R1/2P5/2K5 b - - 4 62,h4h3,1
7k/6p1/p3rn2/3N4/1PP2P2/6Rq/2P5/2K5 w - - 5 63,g3a3,-1
7k/6p1/p3rn2/3N4/1PP2P2/R6q/2P5/2K5 b - - 6 63,h3h2,1
7k/6p1/p3rn2/3N4/1PP2P2/R7/2P4q/2K5 w - - 7 64,a3b3,-1
7k/6p1/p3rn2/3N4/1PP2P2/1R6/2P4q/2K5 b - - 8 64,h2g2,1
7k/6p1/p3rn2/3N4/1PP2P2/1R6/2P3q1/2K5 w - - 9 65,c2c3,-1
7k/6p1/p3rn2/3N4/1PP2P2/1RP5/6q1/2K5 b - - 0 65,g2h2,1
7k/6p1/p3rn2/3N4/1PP2P2/1RP5/7q/2K5 w - - 1 66,b3b2,-1
7k/6p1/p3rn2/3N4/1PP2P2/2P5/1R5q/2K5 b - - 2 66,h2g2,1
7k/6p1/p3rn2/3N4/1PP2P2/2P5/1R4q1/2K5 w - - 3 67,d5c7,-1
7k/2N3p1/p3rn2/8/1PP2P2/2P5/1R4q1/2K5 b - - 4 67,a6a5,1
7k/2N3p1/4rn2/p7/1PP2P2/2P5/1R4q1/2K5 w - - 0 68,c7b5,-1
7k/6p1/4rn2/pN6/1PP2P2/2P5/1R4q1/2K5 b - - 1 68,a5b4,1
7k/6p1/4rn2/1N6/1pP2P2/2P5/1R4q1/2K5 w - - 0 69,b5d4,-1
7k/6p1/4rn2/8/1pPN1P2/2P5/1R4q1/2K5 b - - 1 69,e6d6,1
7k/6p1/3r1n2/8/1pPN1P2/2P5/1R4q1/2K5 w - - 2 70,d4e6,-1
7k/6p1/3rNn2/8/1pP2P2/2P5/1R4q1/2K5 b - - 3 70,b4b3,1
7k/6p1/3rNn2/8/2P2P2/1pP5/1R4q1/2K5 w - - 0 71,e6c7,-1
7k/2N3p1/3r1n2/8/2P2P2/1pP5/1R4q1/2K5 b - - 1 71,d6d3,1
7k/2N3p1/5n2/8/2P2P2/1pPr4/1R4q1/2K5 w - - 2 72,c7e6,-1
7k/6p1/4Nn2/8/2P2P2/1pPr4/1R4q1/2K5 b - - 3 72,g2h2,1
7k/6p1/4Nn2/8/2P2P2/1pPr4/1R5q/2K5 w - - 4 73,e6c7,-1
7k/2N3p1/5n2/8/2P2P2/1pPr4/1R5q/2K5 b - - 5 73,h2h1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5,-1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,b8c6,-1
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,d2d4,1
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,e5d4,-1
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,f3d4,1
r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,c6d4,-1
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,d1d4,1
r1bqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KB1R b KQkq - 0 5,g8f6,-1
r1bqkb1r/pppp1ppp/5n2/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 1 6,b1c3,1
r1bqkb1r/pppp1ppp/5n2/8/3QP3/2N5/PPP2PPP/R1B1KB1R b KQkq - 2 6,f8e7,-1
r1bqk2r/ppppbppp/5n2/8/3QP3/2N5/PPP2PPP/R1B1KB1R w KQkq - 3 7,c1g5,1
r1bqk2r/ppppbppp/5n2/6B1/3QP3/2N5/PPP2PPP/R3KB1R b KQkq - 4 7,e8g8,-1
r1bq1rk1/ppppbppp/5n2/6B1/3QP3/2N5/PPP2PPP/R3KB1R w KQ - 5 8,g5f6,1
r1bq1rk1/ppppbppp/5B2/8/3QP3/2N5/PPP2PPP/R3KB1R b KQ - 0 8,e7f6,-1
r1bq1rk1/pppp1ppp/5b2/8/3QP3/2N5/PPP2PPP/R3KB1R w KQ - 0 9,d4d6,1
r1bq1rk1/pppp1ppp/3Q1b2/8/4P3/2N5/PPP2PPP/R3KB1R b KQ - 1 9,c7d6,-1
r1bq1rk1/pp1p1ppp/3p1b2/8/4P3/2N5/PPP2PPP/R3KB1R w KQ - 0 10,f1d3,1
r1bq1rk1/pp1p1ppp/3p1b2/8/4P3/2NB4/PPP2PPP/R3K2R b KQ - 1 10,d8e7,-1
r1b2rk1/pp1pqppp/3p1b2/8/4P3/2NB4/PPP2PPP/R3K2R w KQ - 2 11,e1g1,1
r1b2rk1/pp1pqppp/3p1b2/8/4P3/2NB4/PPP2PPP/R4RK1 b - - 3 11,f8e8,-1
r1b1r1k1/pp1pqppp/3p1b2/8/4P3/2NB4/PPP2PPP/R4RK1 w - - 4 12,c3b1,1
r1b1r1k1/pp1pqppp/3p1b2/8/4P3/3B4/PPP2PPP/RN3RK1 b - - 5 12,f6e5,-1
r1b1r1k1/pp1pqppp/3p4/4b3/4P3/3B4/PPP2PPP/RN3RK1 w - - 6 13,b1c3,1
r1b1r1k1/pp1pqppp/3p4/4b3/4P3/2NB4/PPP2PPP/R4RK1 b - - 7 13,e5d4,-1
r1b1r1k1/pp1pqppp/3p4/8/3bP3/2NB4/PPP2PPP/R4RK1 w - - 8 14,a1e1,1
r1b1r1k1/pp1pqppp/3p4/8/3bP3/2NB4/PPP2PPP/4RRK1 b - - 9 14,d4c3,-1
r1b1r1k1/pp1pqppp/3p4/8/4P3/2bB4/PPP2PPP/4RRK1 w - - 0 15,h2h4,1
r1b1r1k1/pp1pqppp/3p4/8/4P2P/2bB4/PPP2PP1/4RRK1 b - - 0 15,c3d4,-1
r1b1r1k1/pp1pqppp/3p4/8/3bP2P/3B4/PPP2PP1/4RRK1 w - - 1 16,c2c3,1
r1b1r1k1/pp1pqppp/3p4/8/3bP2P/2PB4/PP3PP1/4RRK1 b - - 0 16,d4c3,-1
r1b1r1k1/pp1pqppp/3p4/8/4P2P/2bB4/PP3PP1/4RRK1 w - - 0 17,b2c3,1
r1b1r1k1/pp1pqppp/3p4/8/4P2P/2PB4/P4PP1/4RRK1 b - - 0 17,e7f6,-1
r1b1r1k1/pp1p1ppp/3p1q2/8/4P2P/2PB4/P4PP1/4RRK1 w - - 1 18,e4e5,1
r1b1r1k1/pp1p1ppp/3p1q2/4P3/7P/2PB4/P4PP1/4RRK1 b - - 0 18,d6e5,-1
r1b1r1k1/pp1p1ppp/5q2/4p3/7P/2PB4/P4PP1/4RRK1 w - - 0 19,h4h5,1
r1b1r1k1/pp1p1ppp/5q2/4p2P/8/2PB4/P4PP1/4RRK1 b - - 0 19,d7d6,-1
r1b1r1k1/pp3ppp/3p1q2/4p2P/8/2PB4/P4PP1/4RRK1 w - - 0 20,d3e4,1
r1b1r1k1/pp3ppp/3p1q2/4p2P/4B3/2P5/P4PP1/4RRK1 b - - 1 20,c8e6,-1
r3r1k1/pp3ppp/3pbq2/4p2P/4B3/2P5/P4PP1/4RRK1 w - - 2 21,e4f3,1
r3r1k1/pp3ppp/3pbq2/4p2P/8/2P2B2/P4PP1/4RRK1 b - - 3 21,a8d8,-1
3rr1k1/pp3ppp/3pbq2/4p2P/8/2P2B2/P4PP1/4RRK1 w - - 4 22,f3g4,1
