fens,moves,score
3r1rk1/pppq1pp1/2n2n2/2p1p3/4P1B1/P1N5/1BPP1PbP/R1Q2RK1 w - - 1 18,g4f5,-1
3r1rk1/pppq1pp1/2n2n2/2p1pB2/4P3/P1N5/1BPP1PbP/R1Q2RK1 b - - 2 18,g2h3,1
3r1rk1/pppq1pp1/2n2n2/2p1pB2/4P3/P1N4b/1BPP1P1P/R1Q2RK1 w - - 3 19,f5h7,-1
3r1rk1/pppq1ppB/2n2n2/2p1p3/4P3/P1N4b/1BPP1P1P/R1Q2RK1 b - - 4 19,g8h8,1
3r1r1k/pppq1ppB/2n2n2/2p1p3/4P3/P1N4b/1BPP1P1P/R1Q2RK1 w - - 5 20,c3b5,-1
3r1r1k/pppq1ppB/2n2n2/1Np1p3/4P3/P6b/1BPP1P1P/R1Q2RK1 b - - 6 20,h3f1,1
3r1r1k/pppq1ppB/2n2n2/1Np1p3/4P3/P7/1BPP1P1P/R1Q2bK1 w - - 0 21,h2h3,-1
3r1r1k/pppq1ppB/2n2n2/1Np1p3/4P3/P6P/1BPP1P2/R1Q2bK1 b - - 0 21,f1e2,1
3r1r1k/pppq1ppB/2n2n2/1Np1p3/4P3/P6P/1BPPbP2/R1Q3K1 w - - 1 22,h7f5,-1
3r1r1k/pppq1pp1/2n2n2/1Np1pB2/4P3/P6P/1BPPbP2/R1Q3K1 b - - 2 22,d7f5,1
3r1r1k/ppp2pp1/2n2n2/1Np1pq2/4P3/P6P/1BPPbP2/R1Q3K1 w - - 0 23,e4f5,-1
3r1r1k/ppp2pp1/2n2n2/1Np1pP2/8/P6P/1BPPbP2/R1Q3K1 b - - 0 23,a7a6,1
3r1r1k/1pp2pp1/p1n2n2/1Np1pP2/8/P6P/1BPPbP2/R1Q3K1 w - - 0 24,b5c3,-1
3r1r1k/1pp2pp1/p1n2n2/2p1pP2/8/P1N4P/1BPPbP2/R1Q3K1 b - - 1 24,c6e7,1
3r1r1k/1pp1npp1/p4n2/2p1pP2/8/P1N4P/1BPPbP2/R1Q3K1 w - - 2 25,c3e2,-1
3r1r1k/1pp1npp1/p4n2/2p1pP2/8/P6P/1BPPNP2/R1Q3K1 b - - 0 25,f6e4,1
3r1r1k/1pp1npp1/p7/2p1pP2/4n3/P6P/1BPPNP2/R1Q3K1 w - - 1 26,d2d4,-1
3r1r1k/1pp1npp1/p7/2p1pP2/3Pn3/P6P/1BP1NP2/R1Q3K1 b - - 0 26,c5d4,1
3r1r1k/1pp1npp1/p7/4pP2/3pn3/P6P/1BP1NP2/R1Q3K1 w - - 0 27,f2f4,-1
3r1r1k/1pp1npp1/p7/4pP2/3pnP2/P6P/1BP1N3/R1Q3K1 b - - 0 27,e4c3,1
3r1r1k/1pp1npp1/p7/4pP2/3p1P2/P1n4P/1BP1N3/R1Q3K1 w - - 1 28,e2g3,-1
3r1r1k/1pp1npp1/p7/4pP2/3p1P2/P1n3NP/1BP5/R1Q3K1 b - - 2 28,e5f4,1
3r1r1k/1pp1npp1/p7/5P2/3p1p2/P1n3NP/1BP5/R1Q3K1 w - - 0 29,g3e2,-1
3r1r1k/1pp1npp1/p7/5P2/3p1p2/P1n4P/1BP1N3/R1Q3K1 b - - 1 29,c3d5,1
3r1r1k/1pp1npp1/p7/3n1P2/3p1p2/P6P/1BP1N3/R1Q3K1 w - - 2 30,b2d4,-1
3r1r1k/1pp1npp1/p7/3n1P2/3B1p2/P6P/2P1N3/R1Q3K1 b - - 0 30,b7b6,1
3r1r1k/2p1npp1/pp6/3n1P2/3B1p2/P6P/2P1N3/R1Q3K1 w - - 0 31,e2g3,-1
3r1r1k/2p1npp1/pp6/3n1P2/3B1p2/P5NP/2P5/R1Q3K1 b - - 1 31,f4g3,1
3r1r1k/2p1npp1/pp6/3n1P2/3B4/P5pP/2P5/R1Q3K1 w - - 0 32,d4f6,-1
3r1r1k/2p1npp1/pp3B2/3n1P2/8/P5pP/2P5/R1Q3K1 b - - 1 32,g7f6,1
3r1r1k/2p1np2/pp3p2/3n1P2/8/P5pP/2P5/R1Q3K1 w - - 0 33,c1b2,-1
3r1r1k/2p1np2/pp3p2/3n1P2/8/P5pP/1QP5/R5K1 b - - 1 33,d5b4,1
3r1r1k/2p1np2/pp3p2/5P2/1n6/P5pP/1QP5/R5K1 w - - 2 34,a3b4,-1
3r1r1k/2p1np2/pp3p2/5P2/1P6/6pP/1QP5/R5K1 b - - 0 34,e7f5,1
3r1r1k/2p2p2/pp3p2/5n2/1P6/6pP/1QP5/R5K1 w - - 0 35,h3h4,-1
3r1r1k/2p2p2/pp3p2/5n2/1P5P/6p1/1QP5/R5K1 b - - 0 35,f5d4,1
3r1r1k/2p2p2/pp3p2/8/1P1n3P/6p1/1QP5/R5K1 w - - 1 36,c2c3,-1
3r1r1k/2p2p2/pp3p2/8/1P1n3P/2P3p1/1Q6/R5K1 b - - 0 36,d4f3,1
3r1r1k/2p2p2/pp3p2/8/1P5P/2P2np1/1Q6/R5K1 w - - 1 37,g1f1,-1
3r1r1k/2p2p2/pp3p2/8/1P5P/2P2np1/1Q6/R4K2 b - - 2 37,f3d2,1
3r1r1k/2p2p2/pp3p2/8/1P5P/2P3p1/1Q1n4/R4K2 w - - 3 38,f1g2,-1
3r1r1k/2p2p2/pp3p2/8/1P5P/2P3p1/1Q1n2K1/R7 b - - 4 38,d2e4,1
3r1r1k/2p2p2/pp3p2/8/1P2n2P/2P3p1/1Q4K1/R7 w - - 5 39,a1a5,-1
3r1r1k/2p2p2/pp3p2/R7/1P2n2P/2P3p1/1Q4K1/8 b - - 6 39,b6a5,1
3r1r1k/2p2p2/p4p2/p7/1P2n2P/2P3p1/1Q4K1/8 w - - 0 40,b2c2,-1
3r1r1k/2p2p2/p4p2/p7/1P2n2P/2P3p1/2Q3K1/8 b - - 1 40,a5b4,1
3r1r1k/2p2p2/p4p2/8/1p2n2P/2P3p1/2Q3K1/8 w - - 0 41,c3b4,-1
3r1r1k/2p2p2/p4p2/8/1P2n2P/6p1/2Q3K1/8 b - - 0 41,e4d2,1
3r1r1k/2p2p2/p4p2/8/1P5P/6p1/2Qn2K1/8 w - - 1 42,g2h1,-1
3r1r1k/2p2p2/p4p2/8/1P5P/6p1/2Qn4/7K b - - 2 42,d2e4,1
3r1r1k/2p2p2/p4p2/8/1P2n2P/6p1/2Q5/7K w - - 3 43,c2b2,-1
3r1r1k/2p2p2/p4p2/8/1P2n2P/6p1/1Q6/7K b - - 4 43,e4d2,1
3r1r1k/2p2p2/p4p2/8/1P5P/6p1/1Q1n4/7K w - - 5 44,b2c2,-1
3r1r1k/2p2p2/p4p2/8/1P5P/6p1/2Qn4/7K b - - 6 44,d2e4,1
3r1r1k/2p2p2/p4p2/8/1P2n2P/6p1/2Q5/7K w - - 7 45,c2c1,-1
3r1r1k/2p2p2/p4p2/8/1P2n2P/6p1/8/2Q4K b - - 8 45,e4d2,1
3r1r1k/2p2p2/p4p2/8/1P5P/6p1/3n4/2Q4K w - - 9 46,c1d2,-1
3r1r1k/2p2p2/p4p2/8/1P5P/6p1/3Q4/7K b - - 0 46,h8g8,1
3r1rk1/2p2p2/p4p2/8/1P5P/6p1/3Q4/7K w - - 1 47,d2d3,-1
3r1rk1/2p2p2/p4p2/8/1P5P/3Q2p1/8/7K b - - 2 47,g8g7,1
3r1r2/2p2pk1/p4p2/8/1P5P/3Q2p1/8/7K w - - 3 48,d3e2,-1
3r1r2/2p2pk1/p4p2/8/1P5P/6p1/4Q3/7K b - - 4 48,d8d2,1
5r2/2p2pk1/p4p2/8/1P5P/6p1/3rQ3/7K w - - 5 49,e2e3,-1
5r2/2p2pk1/p4p2/8/1P5P/4Q1p1/3r4/7K b - - 6 49,f8d8,1
3r4/2p2pk1/p4p2/8/1P5P/4Q1p1/3r4/7K w - - 7 50,e3a3,-1
3r4/2p2pk1/p4p2/8/1P5P/Q5p1/3r4/7K b - - 8 50,d8f8,1
5r2/2p2pk1/p4p2/8/1P5P/Q5p1/3r4/7K w - - 9 51,a3a6,-1
5r2/2p2pk1/Q4p2/8/1P5P/6p1/3r4/7K b - - 0 51,f8d8,1
3r4/2p2pk1/Q4p2/8/1P5P/6p1/3r4/7K w - - 1 52,a6c6,-1
3r4/2p2pk1/2Q2p2/8/1P5P/6p1/3r4/7K b - - 2 52,d8e8,1
4r3/2p2pk1/2Q2p2/8/1P5P/6p1/3r4/7K w - - 3 53,c6c7,-1
4r3/2Q2pk1/5p2/8/1P5P/6p1/3r4/7K b - - 0 53,e8e1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,1
